REGION,LOCALITY,FIPS,"HOUSEHOLDS
 (PA)","HOUSEHOLDS
 (NPA)","HOUSEHOLDS
 (TOTAL)","PERSONS
 (PA)","PERSONS
 (NPA)","PERSONS
 (TOTAL)","ISSUANCE
 (PA)","ISSUANCE
 (NPA)","ISSUANCE
 (TOTAL)",date
Central,Amelia County,7,130,805,935,151,1588,1739,"20,681.00","247,733.00","268,414.00",12/1/24
Central,Buckingham County,29,245,1266,1511,272,2508,2780,"38,223.00","399,358.00","437,581.00",12/1/24
Central,Caroline County,33,270,1886,2156,379,3927,4306,"58,398.00","682,415.00","740,813.00",12/1/24
Central,Charles City County,36,51,463,514,66,870,936,"9,951.00","141,944.00","151,895.00",12/1/24
Central,Chesterfield County,41,1821,12896,14717,2722,29451,32173,"495,966.00","5,803,000.00","6,298,966.00",12/1/24
Central,Colonial Heights City,570,204,1150,1354,314,2560,2874,"57,559.00","503,211.00","560,770.00",12/1/24
Central,Cumberland County,49,151,837,988,212,1750,1962,"33,550.00","288,971.00","322,521.00",12/1/24
Central,Essex County,57,161,885,1046,205,1816,2021,"29,026.00","298,693.00","327,719.00",12/1/24
Central,Fluvanna County,65,118,771,889,160,1739,1899,"27,443.00","279,271.00","306,714.00",12/1/24
Central,Goochland County,75,93,649,742,108,1307,1415,"15,840.00","210,730.00","226,570.00",12/1/24
Central,Hanover County,85,382,2751,3133,538,5732,6270,"84,052.00","972,986.00","1,057,038.00",12/1/24
Central,Henrico County,87,2679,15922,18601,4629,33748,38377,"775,817.00","6,362,612.00","7,138,429.00",12/1/24
Central,Hopewell City,670,709,2963,3672,1083,6074,7157,"185,509.00","1,127,719.00","1,313,228.00",12/1/24
Central,King and Queen County,97,87,527,614,108,1006,1114,"16,859.00","168,795.00","185,654.00",12/1/24
Central,King William County,101,97,755,852,139,1519,1658,"21,402.00","245,500.00","266,902.00",12/1/24
Central,Lancaster County,103,86,678,764,122,1354,1476,"19,448.00","208,684.00","228,132.00",12/1/24
Central,Lunenburg County,111,223,996,1219,253,2091,2344,"32,853.00","331,035.00","363,888.00",12/1/24
Central,Middlesex County,119,96,713,809,128,1406,1534,"19,340.00","228,384.00","247,724.00",12/1/24
Central,New Kent County,127,74,633,707,109,1370,1479,"19,120.00","237,719.00","256,839.00",12/1/24
Central,Northumberland County,133,111,696,807,133,1401,1534,"18,956.00","217,110.00","236,066.00",12/1/24
Central,Nottoway County,135,336,1238,1574,452,2537,2989,"66,093.00","404,234.00","470,327.00",12/1/24
Central,Petersburg City,730,1343,5186,6529,2012,9588,11600,"355,603.00","1,877,232.00","2,232,835.00",12/1/24
Central,Powhatan County,145,94,606,700,107,1304,1411,"15,011.00","193,061.00","208,072.00",12/1/24
Central,Prince Edward County,147,320,1500,1820,385,3122,3507,"57,181.00","478,324.00","535,505.00",12/1/24
Central,Richmond City,760,4424,18074,22498,6566,32125,38691,"1,104,007.00","6,952,736.00","8,056,743.00",12/1/24
Central,WARSAW AREA -Richmond County,159,167,519,686,204,1085,1289,"26,303.00","164,823.00","191,126.00",12/1/24
Central,Westmoreland County,193,193,1416,1609,248,2964,3212,"37,783.00","497,483.00","535,266.00",12/1/24
Eastern,Accomack County,1,475,2503,2978,635,5128,5763,"91,241.00","858,017.00","949,258.00",12/1/24
Eastern,Brunswick County,25,317,1640,1957,413,2942,3355,"58,620.00","479,216.00","537,836.00",12/1/24
Eastern,Chesapeake City,550,1814,9156,10970,2447,19291,21738,"387,372.00","3,467,068.00","3,854,440.00",12/1/24
Eastern,Dinwiddie County,53,320,2046,2366,394,4160,4554,"61,002.00","755,373.00","816,375.00",12/1/24
Eastern,Emporia City,595,194,813,1007,293,1608,1901,"45,641.00","288,085.00","333,726.00",12/1/24
Eastern,Franklin City,620,267,1147,1414,369,2370,2739,"62,603.00","425,875.00","488,478.00",12/1/24
Eastern,Gloucester County,73,322,1797,2119,431,3509,3940,"66,981.00","593,554.00","660,535.00",12/1/24
Eastern,Greensville County,81,171,954,1125,259,1843,2102,"38,105.00","318,001.00","356,106.00",12/1/24
Eastern,Hampton City,650,1667,9622,11289,2390,19788,22178,"403,950.00","3,578,947.00","3,982,897.00",12/1/24
Eastern,Isle of Wight County,93,303,1743,2046,381,3393,3774,"65,423.00","558,605.00","624,028.00",12/1/24
Eastern,James City County,95,328,1901,2229,542,4063,4605,"91,463.00","680,421.00","771,884.00",12/1/24
Eastern,Mathews County,115,48,429,477,58,804,862,"8,338.00","130,676.00","139,014.00",12/1/24
Eastern,Newport News City,700,2989,14492,17481,4788,30081,34869,"767,020.00","5,514,843.00","6,281,863.00",12/1/24
Eastern,Norfolk City,710,3745,17809,21554,5214,34622,39836,"824,704.00","6,473,260.37","7,297,964.37",12/1/24
