County,FIPS,Value (Percent),People (Below Poverty),Rank within US (of 3143 counties)
Radford City,51750,33.7,4513,"3,117"
Lee County,51105,27.6,5617,"3,046"
Norton City,51720,25.7,917,"3,003"
Harrisonburg City,51660,25.6,11298,"2,998"
Danville City,51590,25,10156,"2,976"
Charlotte County,51037,24.6,2762,"2,961"
Buchanan County,51027,23.9,4485,"2,933"
Hopewell City,51670,23.8,5405,"2,928"
Montgomery County,51121,23.8,21057,"2,928"
Covington City,51580,23.6,1317,"2,919"
Galax City,51640,23.4,1503,"2,912"
Charlottesville City,51540,22.6,9701,"2,867"
Buena Vista City,51530,22,1339,"2,821"
Martinsville City,51690,21.8,2871,"2,809"
Prince Edward County,51147,21.6,3646,"2,793"
Bath County,51017,21.1,841,"2,753"
Petersburg City,51730,21.1,6930,"2,753"
Dickenson County,51051,20.2,2716,"2,669"
Roanoke City,51770,19.7,19062,"2,634"
Tazewell County,51185,19.3,7374,"2,595"
Winchester City,51840,19.3,5182,"2,595"
Nottoway County,51135,18.9,2608,"2,552"
Richmond City,51760,18.8,40994,"2,536"
King and Queen County,51097,18.5,1232,"2,500"
Bristol City,51520,18.3,3057,"2,472"
Russell County,51167,18.1,4592,"2,452"
Grayson County,51077,18,2595,"2,433"
Scott County,51169,18,3729,"2,433"
Halifax County with South Boston City,51083,17.9,5901,"2,418"
Wise County,51195,17.7,5807,"2,385"
Portsmouth City,51740,17.6,16612,"2,369"
Lynchburg City,51680,17.4,11939,"2,337"
Mecklenburg County,51117,17.4,5111,"2,337"
Norfolk City,51710,17.3,37182,"2,327"
Northampton County,51131,17.1,2021,"2,293"
Franklin City,51620,16.7,1340,"2,219"
Smyth County,51173,16.5,4772,"2,195"
Fredericksburg City,51630,16.4,4281,"2,175"
Carroll County,51035,16.2,4688,"2,140"
Lexington City,51678,15.9,665,"2,098"
Lunenburg County,51111,15.9,1758,"2,098"
Wythe County,51197,15.6,4354,"2,050"
Essex County,51057,15.5,1628,"2,037"
Brunswick County,51025,15.3,2090,"1,995"
Newport News City,51700,15.1,26927,"1,963"
Pittsylvania County,51143,15,8812,"1,944"
Accomack County,51001,14.9,4883,"1,928"
Henry County,51089,14.8,7315,"1,910"
Pulaski County,51155,14.6,4743,"1,867"
Nelson County,51125,14.4,2118,"1,824"
Williamsburg City,51830,14.1,1520,"1,752"
Craig County,51045,14,652,"1,728"
Westmoreland County,51193,13.8,2554,"1,681"
Buckingham County,51029,13.7,2039,"1,663"
Emporia City,51595,13.5,729,"1,622"
Greensville County,51081,13.5,1113,"1,622"
Alleghany County and Clifton Forge City,51005,13.1,1916,"1,530"
Lancaster County,51103,13.1,1391,"1,530"
Hampton City,51650,13,17351,"1,503"
Bland County,51021,12.7,668,"1,435"
Staunton City,51790,12.6,3042,"1,398"
Appomattox County,51011,12.3,2007,"1,323"
Shenandoah County,51171,12.3,5440,"1,323"
Sussex County,51183,12.1,1107,"1,275"
Greene County,51079,11.7,2424,"1,180"
Waynesboro City,51820,11.7,2612,"1,180"
Caroline County,51033,11.6,3496,"1,154"
Surry County,51181,11.6,756,"1,154"
Franklin County,51067,11.5,6179,"1,138"
Charles City County,51036,11.4,760,"1,109"
Warren County,51187,11.3,4542,"1,088"
Amelia County,51007,11.1,1468,"1,036"
Washington County,51191,11,5749,"1,010"
Salem City,51775,10.9,2500,992
Amherst County,51009,10.8,3291,965
Patrick County,51141,10.8,1859,965
Dinwiddie County,51053,10.7,2923,937
Highland County,51091,10.3,233,848
Northumberland County,51133,10.3,1238,848
Campbell County,51031,10.1,5517,807
Louisa County,51109,10.1,3916,807
Orange County,51137,10.1,3688,807
Fairfax City,51600,9.9,2346,753
Suffolk City,51800,9.9,9454,753
Colonial Heights City,51570,9.6,1723,692
Rockingham County,51165,9.6,7902,692
Middlesex County,51119,9.5,978,669
Page County,51139,9.5,2234,669
Rappahannock County,51157,9.5,700,669
Richmond County,51159,9.3,692,621
Giles County,51071,8.9,1468,550
Chesapeake City,51550,8.7,21444,501
Southampton County,51175,8.7,1427,501
Alexandria City,51510,8.4,13037,434
Henrico County,51087,8.4,27912,434
Virginia Beach City,51810,8.4,37541,434
Floyd County,51063,8.3,1282,413
Culpeper County,51047,8.2,4229,391
Bedford City and County,51917,8.1,6429,370
Prince George County,51149,8,2878,357
Rockbridge County,51163,8,1773,357
King William County,51101,7.9,1431,339
Mathews County,51115,7.9,665,339
Cumberland County,51049,7.7,748,304
Fluvanna County,51065,7.7,2027,304
Isle of Wight County,51093,7.4,2891,259
Augusta County,51015,7.3,5455,252
Roanoke County,51161,7.3,6858,252
Arlington County,51013,7.1,16573,215
Frederick County,51069,7.1,6479,215
Madison County,51113,7,967,202
Spotsylvania County,51177,7,9974,202
Clarke County,51043,6.9,1014,191
Albemarle County,51003,6.8,7141,178
Chesterfield County,51041,6.8,25098,178
Gloucester County,51073,6.8,2619,178
Manassas City,51683,6.7,2838,166
James City County,51095,6.5,5119,142
King George County,51099,6.5,1764,142
Botetourt County,51023,6.1,2037,101
Fauquier County,51061,6.1,4520,101
Prince William County,51153,6.1,29306,101
Fairfax County,51059,5.9,67276,94
Manassas Park City,51685,5.8,979,87
Poquoson City,51735,5.8,724,87
York County,51199,5.4,3694,67
Hanover County,51085,5.2,5663,55
New Kent County,51127,5.2,1228,55
Stafford County,51179,5.1,7940,47
Loudoun County,51107,4,16821,14
Goochland County,51075,3.9,950,13
Falls Church City,51610,3.6,529,10
Powhatan County,51145,3.3,963,7
