Year,Month,FIPS,Locality,Households Served,Individuals Served,Pounds of Food Distributed,Children Served via non-federal child nutrition programs,Pounds of food distributed via non-federal child nutrition progr,LAT,LON,MTW Status,Geopoint
2020,October,97,King and Queen,,,156644,,,37.7143698,-76.901863,Non-matching,POINT (-76.901863 37.7143698)
2019,April,115,Mathews County,,,21602,0,,37.4253479,-76.2688078,Non-matching,POINT (-76.2688078 37.4253479)
2019,August,97,King and Queen,,,51338,,,37.7143698,-76.901863,Non-matching,POINT (-76.901863 37.7143698)
2020,May,133,Northumberland County,270,627,67633,,,37.8569736,-76.3796872,Matching and updated,POINT (-76.3796872 37.8569736)
2019,May,97,King and Queen,,,54561,,,37.7143698,-76.901863,Non-matching,POINT (-76.901863 37.7143698)
2020,June,760,Richmond City,2,4,,,,37.531399,-77.4760085,Matching and updated,POINT (-77.4760085 37.531399)
2020,June,61,Fauquier County,3,8,,,,38.7441032,-77.8215847,Matching and updated,POINT (-77.8215847 38.7441032)
2020,May,13,Arlington County,,,35710.515,,,38.8783374,-77.1007034,Matching and updated,POINT (-77.1007034 38.8783374)
2019,December,595,Emporia City,54,87,14318,,,36.696182,-77.5359753,Matching and updated,POINT (-77.5359753 36.696182)
2019,February,11,Appomattox County,798,1280,31341.32,,0,37.3707253,-78.8109404,Matching and updated,POINT (-78.8109404 37.3707253)
2019,March,690,Martinsville City,393,1526,11493.75,147,0,36.6835269,-79.8636475,Matching and updated,POINT (-79.8636475 36.6835269)
2021,January,143,Pittsylvania County,,,0,0,0,36.8217206,-79.3985019,Matching and updated,POINT (-79.3985019 36.8217206)
2019,September,109,Louisa County,1411,2890,42024,,,37.9716808,-77.9591779,Matching and updated,POINT (-77.9591779 37.9716808)
2021,April,159,Richmond County,27,74,446632,,,37.9428935,-76.7305609,Matching and updated,POINT (-76.7305609 37.9428935)
2020,August,103,Lancaster County,463,873,70896,,,37.7038307,-76.4131985,Matching and updated,POINT (-76.4131985 37.7038307)
2021,June,165,Rockingham County,1300,2606,73972.38,281,461,38.5112574,-78.876307,Matching and updated,POINT (-78.876307 38.5112574)
2020,May,17,Bath County,311,660,21773.98,,0,38.0689876,-79.732898,Matching and updated,POINT (-79.732898 38.0689876)
2019,April,185,Tazewell County,2724,6175,81717.1,40,0,37.1253949,-81.5629237,Matching and updated,POINT (-81.5629237 37.1253949)
2019,July,630,Fredericksburg City,868,2024,59548,505,926,38.2992718,-77.4866583,Matching and updated,POINT (-77.4866583 38.2992718)
2020,June,99,King George County,223,557,10302.41,,0,38.2771787,-77.1627015,Matching and updated,POINT (-77.1627015 38.2771787)
2019,April,63,Floyd County,356,926,14345.73,,0,36.9314381,-80.3503087,Matching and updated,POINT (-80.3503087 36.9314381)
2020,June,167,Russell County,757,1709,26444.75,,0,36.9334198,-82.0959342,Matching and updated,POINT (-82.0959342 36.9334198)
2019,February,57,Essex County,231,499,25856,,,37.9394802,-76.9418713,Matching and updated,POINT (-76.9418713 37.9394802)
2021,May,135,Nottoway County,205,687,19097,,,37.1436955,-78.0521623,Matching and updated,POINT (-78.0521623 37.1436955)
2020,March,115,Mathews County,,,27560,0,,37.4253479,-76.2688078,Non-matching,POINT (-76.2688078 37.4253479)
2019,November,79,Greene County,536,1354,44019.57,86,1422,38.2979805,-78.4701629,Matching and updated,POINT (-78.4701629 38.2979805)
2020,June,109,Louisa County,1205,2289,11084,,,37.9716808,-77.9591779,Matching and updated,POINT (-77.9591779 37.9716808)
2019,July,81,Greensville County,74,269,158112,,,36.6802247,-77.5602607,Matching and updated,POINT (-77.5602607 36.6802247)
